3918	2	20123
6372	2	20123
28605	2	20123
22527	2	20123
12804	2	20123
23293	2	4823
10788	2	4823
32564	2	26141
2150	2	24552
21771	2	20123
18175	2	17661
4264	2	11244
36324	2	11244
20098	2	20123
40845	2	33025
38812	2	14493
32986	2	20123
35782	2	20123
28407	2	24552
22696	2	20123
40189	2	20123
22057	2	11244
32633	2	33025
35402	2	11244
20424	2	20123
15751	2	33025
37516	2	20123
9775	2	33025
14785	2	20123
24509	2	20123
5380	2	24552
13943	2	20123
27286	2	20123
7254	2	20123
37565	2	11244
27221	2	20123
5607	2	33774
746	2	11244
7372	2	20123
28715	2	20123
26386	2	20123
14139	2	11244
6563	2	20123
9048	2	33025
15534	2	35900
7776	2	20123
29347	2	4823
11563	2	35611
7542	2	11244
35046	2	33025
29683	2	20123
6704	2	20123
35787	2	33025
16321	2	20123
36708	2	20123
22726	2	11244
23625	2	20123
16062	2	21400
13499	2	20123
7156	2	4823
18182	2	11244
19241	2	24552
38805	2	24552
4924	2	14493
17862	2	24552
33535	2	24552
12126	2	11244
3089	2	20123
20707	2	35975
22597	2	20123
19434	2	20123
34814	2	20123
10197	2	18202
38389	2	20123
19227	2	20123
11447	2	33774
14081	2	4823
36508	2	24552
15921	2	33025
17914	2	33774
16538	2	4823
9999	2	20123
22402	2	11244
3165	2	11244
37646	2	20123
38928	2	33774
38305	2	11244
40746	2	11244
36310	2	33025
16708	2	20123
35864	2	18070
35518	2	20123
14394	2	17661
37852	2	24552
6978	2	24552
4080	2	10167
38752	2	11244
13965	2	20123
3506	2	11244
16414	2	20123
6731	2	24552
35625	2	24552
32429	2	11244
32570	2	20123
35804	2	24552
24400	2	20123
19423	2	20123
1580	2	20123
36834	2	17661
26169	2	11244
20422	2	24552
12516	2	33774
5420	2	20123
34164	2	20123
4932	2	33025
39944	2	33025
36834	2	20123
12299	2	11244
8415	2	20123
38988	2	20123
17224	2	33025
10941	2	17661
25354	2	20123
31396	2	33025
23658	2	33774
22192	2	20123
14351	2	11244
18601	2	20123
29538	2	11244
8116	2	20123
33240	2	33774
18830	2	33774
40658	2	11244
21069	2	20123
34719	2	40626
9941	2	20123
20808	2	33025
31482	2	20123
5579	2	20123
1792	2	35900
14996	2	33025
1884	2	11244
16887	2	33025
4872	2	33025
27315	2	11244
5941	2	11244
6365	2	11244
15130	2	11244
8570	2	35611
31586	2	20123
38938	2	33025
10144	2	11244
2914	2	20123
492	2	11244
788	2	20123
7371	2	40626
21669	2	20123
31275	2	24552
654	2	11244
37597	2	20123
7156	2	14493
16192	2	24552
20207	2	20123
6295	2	20123
19649	2	20123
34797	2	20123
9811	2	20123
21287	2	20123
30932	2	20123
38891	2	21400
1901	2	33025
4578	2	33025
25214	2	20123
29251	2	33774
39015	2	11244
9775	2	33774
27976	2	20123
166	2	33025
15966	2	10167
40277	2	20123
31808	2	4823
4337	2	11244
23894	2	11244
38732	2	35611
30529	2	20123
3548	2	4823
12838	2	20123
24436	2	35611
33170	2	40626
3732	2	11244
13032	2	24552
39507	2	11244
36399	2	33774
31106	2	11244
4967	2	35611
33937	2	20123
7032	2	17661
11873	2	33774
35119	2	20123
15578	2	20123
40410	2	11244
19803	2	33025
33094	2	20123
31808	2	14493
39032	2	17661
23036	2	11244
29625	2	33025
27908	2	6731
8665	2	20123
19162	2	20123
29689	2	20123
30613	2	4823
31882	2	20123
33615	2	11244
1417	2	11244
4290	2	20123
4578	2	4823
19017	2	33025
39298	2	20123
31914	2	20123
29395	2	33025
4748	2	33774
39776	2	4823
33332	2	20123
6026	2	17661
31896	2	40626
34396	2	35975
13301	2	20123
40022	2	20123
35409	2	37865
14903	2	24552
35690	2	24552
25130	2	33025
17335	2	24552
38813	2	11244
1747	2	33025
20590	2	4823
35546	2	11244
135	2	24552
23229	2	20123
